phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,medical_qa_228,agent-openrouter-openai-gpt-5-nano-001,0,0,0,0.0
pretrain,medical_qa_51,agent-openrouter-openai-gpt-5-nano-004,1,0,0,0.0
pretrain,medical_qa_563,agent-openrouter-openai-gpt-5-nano-004,1,0,0,0.0
pretrain,medical_qa_501,agent-openrouter-openai-gpt-5-nano-002,1,1,1,0.3333333333333333
pretrain,medical_qa_457,agent-openrouter-openai-gpt-5-nano-004,1,0,0,0.25
pretrain,medical_qa_285,agent-openrouter-openai-gpt-5-nano-004,1,0,0,0.2
pretrain,medical_qa_209,agent-openrouter-openai-gpt-5-nano-002,1,1,1,0.3333333333333333
pretrain,medical_qa_1116,agent-openrouter-openai-gpt-5-nano-003,1,1,1,0.42857142857142855
test,medical_qa_178,agent-openrouter-openai-gpt-5-nano-003,1,0,0,0.0
test,medical_qa_1209,agent-openrouter-openai-gpt-5-nano-004,1,0,0,0.0
