phase,task_type,acc,n,macro_acc,k
cold_start,boolean_expressions,0.95,20,,
cold_start,causal_judgement,0.65,20,,
cold_start,date_understanding,0.95,20,,
cold_start,disambiguation_qa,0.55,20,,
cold_start,logical_deduction,0.85,20,,
cold_start,movie_recommendation,0.75,20,,
cold_start,navigate,0.7,20,,
cold_start,sports_understanding,0.85,20,,
cold_start,tracking_shuffled_objects,0.3,20,,
cold_start,web_of_lies,0.7,20,,
cold_start,__macro__,,200,0.7249999999999999,10
pretrain,boolean_expressions,0.9,30,,
pretrain,causal_judgement,0.6333333333333333,30,,
pretrain,date_understanding,0.8333333333333334,30,,
pretrain,disambiguation_qa,0.7,30,,
pretrain,logical_deduction,0.9333333333333333,30,,
pretrain,movie_recommendation,0.8,30,,
pretrain,navigate,0.7,30,,
pretrain,sports_understanding,0.8666666666666667,30,,
pretrain,tracking_shuffled_objects,0.26666666666666666,30,,
pretrain,web_of_lies,0.4666666666666667,30,,
pretrain,__macro__,,300,0.7100000000000001,10
test,boolean_expressions,0.8,10,,
test,causal_judgement,0.7,10,,
test,date_understanding,0.6,10,,
test,disambiguation_qa,0.3,10,,
test,logical_deduction,1.0,10,,
test,movie_recommendation,0.6,10,,
test,navigate,0.8,10,,
test,sports_understanding,0.6,10,,
test,tracking_shuffled_objects,0.7,10,,
test,web_of_lies,0.4,10,,
test,__macro__,,100,0.65,10
